İl,İlçe,Alan (m2),Oda Sayısı,Bina Yaşı,Kat,Isıtma,Balkon,Asansör,Eşyalı mı?,Fiyat (TL)
Bursa,Orhangazi,223,1+1,20,0,Merkezi,Yok,Yok,Hayır,2231025
Bursa,Orhangazi,143,3+1,18,4,Kombi,Yok,Yok,Evet,2032197
Bursa,Orhangazi,249,2+1,4,5,Soba,Yok,Var,Evet,3229843
Bursa,Orhangazi,61,4+1,12,3,Soba,Var,Yok,Evet,3162701
Bursa,Orhangazi,111,4+1,24,1,Kombi,Var,Yok,Evet,2700670
Bursa,Osmangazi,62,3+1,17,0,Soba,Yok,Var,Hayır,2826682
Bursa,Osmangazi,194,2+1,2,3,Soba,Yok,Yok,Evet,3094199
Bursa,Osmangazi,141,4+1,24,2,Merkezi,Var,Var,Hayır,2083247
Bursa,Osmangazi,147,2+1,28,1,Merkezi,Var,Var,Evet,2890941
Bursa,Osmangazi,163,3+1,7,3,Kombi,Var,Yok,Evet,1754620
Bursa,Osmangazi,213,3+1,14,1,Merkezi,Var,Yok,Hayır,1702977
Bursa,Osmangazi,210,1+1,25,5,Merkezi,Var,Var,Hayır,3248240
Bursa,Osmangazi,239,1+1,12,2,Kombi,Yok,Var,Evet,2397790
Bursa,Osmangazi,172,1+1,25,0,Merkezi,Yok,Var,Evet,1957498
Bursa,Osmangazi,217,4+1,27,4,Soba,Yok,Var,Hayır,3003025
Bursa,Yenişehir,155,4+1,30,0,Merkezi,Yok,Yok,Hayır,2886141
Bursa,Yenişehir,222,3+1,9,5,Soba,Var,Yok,Evet,1986737
Bursa,Yenişehir,92,2+1,15,1,Merkezi,Var,Var,Hayır,2922307
Bursa,Yenişehir,184,2+1,29,1,Soba,Yok,Var,Evet,2684936
Bursa,Yenişehir,130,1+1,10,5,Soba,Var,Var,Hayır,3167305
Bursa,Yenişehir,232,1+1,8,0,Kombi,Var,Var,Evet,1571710
Bursa,Yenişehir,111,1+1,15,5,Soba,Yok,Yok,Evet,2786321
Bursa,Yenişehir,238,1+1,29,1,Merkezi,Yok,Var,Hayır,3243323
Bursa,Yenişehir,83,4+1,12,2,Soba,Yok,Var,Hayır,2729047
Bursa,Yenişehir,209,3+1,29,4,Kombi,Yok,Var,Evet,2511718
Bursa,Yıldırım,106,1+1,25,4,Merkezi,Var,Var,Evet,2069713
Bursa,Yıldırım,225,1+1,22,0,Merkezi,Var,Yok,Evet,2212961
Bursa,Yıldırım,82,1+1,17,3,Kombi,Var,Yok,Hayır,3221764
Bursa,Yıldırım,115,3+1,1,4,Merkezi,Var,Yok,Evet,2363014
Bursa,Yıldırım,169,2+1,25,2,Merkezi,Yok,Yok,Hayır,1905734
Bursa,Yıldırım,65,1+1,21,5,Merkezi,Var,Var,Hayır,2923027
Bursa,Yıldırım,241,4+1,26,0,Merkezi,Var,Yok,Evet,2501617
Bursa,Yıldırım,207,3+1,8,0,Kombi,Yok,Var,Hayır,881155
Bursa,Yıldırım,168,1+1,16,4,Merkezi,Yok,Var,Hayır,2818773
Bursa,Yıldırım,163,2+1,0,4,Soba,Yok,Yok,Evet,2533413
Bursa,İnegöl,166,2+1,14,0,Soba,Yok,Var,Hayır,2261518
Bursa,İnegöl,184,1+1,18,4,Soba,Yok,Var,Evet,2745320
Bursa,İnegöl,63,1+1,21,1,Merkezi,Yok,Var,Hayır,2718352
Bursa,İnegöl,121,4+1,27,1,Merkezi,Var,Yok,Hayır,2427007
Bursa,İnegöl,225,2+1,3,5,Kombi,Yok,Yok,Evet,2858937
Bursa,İnegöl,210,1+1,24,1,Kombi,Var,Var,Hayır,2032273
Bursa,İnegöl,187,1+1,14,4,Merkezi,Yok,Var,Hayır,2749763
Bursa,İnegöl,192,1+1,30,3,Merkezi,Var,Yok,Hayır,2230902
Bursa,İnegöl,154,1+1,5,3,Soba,Var,Yok,Evet,2467195
Bursa,İnegöl,76,1+1,26,2,Kombi,Var,Var,Evet,2226832
Bursa,İznik,80,1+1,0,2,Merkezi,Yok,Var,Hayır,2580196
Bursa,İznik,196,4+1,6,0,Kombi,Yok,Yok,Evet,2184782
Bursa,İznik,246,4+1,14,4,Merkezi,Var,Var,Evet,2208492
Bursa,İznik,164,2+1,22,5,Soba,Var,Var,Evet,2829393
Bursa,İznik,219,3+1,29,3,Kombi,Yok,Var,Hayır,2209927
Bursa,İznik,119,4+1,22,4,Soba,Yok,Var,Evet,2224334
Bursa,İznik,97,1+1,5,0,Soba,Yok,Yok,Evet,3116021
Bursa,İznik,196,2+1,19,5,Soba,Yok,Yok,Hayır,2236258
Bursa,İznik,68,4+1,7,1,Kombi,Yok,Yok,Evet,2926685
Bursa,İznik,208,3+1,29,5,Kombi,Yok,Var,Evet,2929059
Denizli,Acıpayam,128,1+1,19,17,Kombi,Var,Var,Evet,3579630
Denizli,Acıpayam,207,3+1,5,3,Merkezi,Var,Yok,Evet,2764281
Denizli,Acıpayam,80,1+1,15,17,Kombi,Yok,Var,Hayır,1915641
Denizli,Acıpayam,205,3+1,18,1,Soba,Var,Yok,Evet,552691
Denizli,Acıpayam,99,3+1,22,19,Merkezi,Var,Var,Evet,3854714
Denizli,Acıpayam,234,2+1,28,4,Merkezi,Yok,Var,Hayır,3925031
Denizli,Acıpayam,94,2+1,26,18,Soba,Var,Var,Hayır,2544464
Denizli,Acıpayam,184,1+1,22,19,Soba,Yok,Var,Hayır,2326723
Denizli,Acıpayam,150,1+1,21,14,Soba,Var,Yok,Hayır,1195351
Denizli,Acıpayam,93,1+1,7,19,Merkezi,Var,Yok,Hayır,536764
Denizli,Babadağ,129,4+1,8,14,Merkezi,Yok,Yok,Hayır,564294
Denizli,Babadağ,157,4+1,18,9,Kombi,Yok,Yok,Hayır,1015843
Denizli,Babadağ,97,1+1,27,8,Merkezi,Var,Yok,Evet,905583
Denizli,Babadağ,202,4+1,19,5,Merkezi,Var,Var,Hayır,3480957
Denizli,Babadağ,58,2+1,23,5,Kombi,Yok,Var,Evet,3957172
Denizli,Babadağ,186,2+1,3,8,Kombi,Var,Var,Hayır,3707681
Denizli,Babadağ,76,2+1,25,0,Kombi,Yok,Yok,Hayır,3376075
Denizli,Babadağ,111,1+1,20,2,Soba,Var,Var,Evet,2107916
Denizli,Babadağ,152,4+1,19,10,Soba,Yok,Yok,Hayır,1616430
Denizli,Babadağ,125,1+1,1,11,Soba,Var,Yok,Hayır,1421425
Denizli,Baklan,245,1+1,11,0,Merkezi,Var,Yok,Evet,3021329
Denizli,Baklan,194,2+1,22,17,Kombi,Yok,Yok,Evet,430644
Denizli,Baklan,115,1+1,14,14,Kombi,Yok,Yok,Evet,2224982
Denizli,Baklan,138,1+1,29,11,Merkezi,Var,Yok,Hayır,1009782
Denizli,Baklan,115,3+1,11,19,Merkezi,Yok,Var,Evet,2845906
Denizli,Baklan,213,2+1,13,11,Merkezi,Var,Var,Hayır,690233
Denizli,Baklan,107,4+1,10,3,Soba,Yok,Var,Hayır,2654463
Denizli,Baklan,75,1+1,1,6,Kombi,Yok,Var,Evet,3027135
Denizli,Baklan,99,4+1,9,20,Soba,Yok,Var,Evet,3827577
Denizli,Baklan,99,1+1,30,6,Soba,Yok,Var,Hayır,3519447
Denizli,Bekilli,58,2+1,11,20,Kombi,Yok,Yok,Evet,445737
Denizli,Bekilli,89,4+1,20,10,Kombi,Var,Var,Hayır,2624061
Denizli,Bekilli,71,3+1,12,9,Kombi,Var,Yok,Hayır,769583
Denizli,Bekilli,69,4+1,4,5,Kombi,Yok,Yok,Hayır,3430743
Denizli,Bekilli,221,3+1,2,19,Kombi,Var,Yok,Hayır,1962653
Denizli,Bekilli,65,4+1,27,3,Merkezi,Yok,Var,Hayır,1330829
Denizli,Bekilli,235,2+1,13,18,Soba,Yok,Yok,Evet,1091256
Denizli,Bekilli,163,4+1,28,12,Kombi,Yok,Yok,Evet,3932233
Denizli,Bekilli,116,4+1,28,20,Kombi,Var,Var,Evet,3406626
Denizli,Bekilli,198,3+1,9,11,Soba,Var,Var,Hayır,2893483
Denizli,Beyağaç,105,4+1,14,6,Merkezi,Var,Var,Evet,502005
Denizli,Beyağaç,245,2+1,28,2,Merkezi,Yok,Var,Hayır,1338431
Denizli,Beyağaç,96,1+1,17,0,Merkezi,Var,Yok,Hayır,2844532
Denizli,Beyağaç,78,4+1,17,16,Soba,Var,Yok,Evet,1367244
Denizli,Beyağaç,101,2+1,13,11,Merkezi,Var,Yok,Hayır,2697434
Denizli,Beyağaç,239,3+1,13,15,Merkezi,Yok,Var,Hayır,1001271
Denizli,Beyağaç,59,2+1,28,6,Merkezi,Var,Var,Hayır,1381238
Denizli,Beyağaç,57,1+1,23,1,Kombi,Var,Yok,Evet,3422170
Denizli,Beyağaç,244,1+1,30,9,Merkezi,Var,Yok,Hayır,3374428
Denizli,Beyağaç,181,3+1,24,1,Kombi,Yok,Var,Evet,3197392
Denizli,Bozkurt,97,1+1,19,19,Soba,Yok,Var,Evet,3572688
Denizli,Bozkurt,84,4+1,19,12,Merkezi,Yok,Yok,Evet,2193470
Denizli,Bozkurt,173,3+1,4,12,Soba,Var,Yok,Hayır,2024139
Denizli,Bozkurt,198,2+1,27,5,Merkezi,Yok,Yok,Evet,1813845
Denizli,Bozkurt,105,2+1,22,3,Merkezi,Var,Var,Hayır,2728607
Denizli,Bozkurt,100,3+1,18,11,Kombi,Var,Var,Hayır,1132266
Denizli,Bozkurt,112,1+1,10,19,Soba,Yok,Yok,Hayır,795729
Denizli,Bozkurt,128,2+1,12,16,Kombi,Yok,Var,Hayır,2054979
Denizli,Bozkurt,72,1+1,14,5,Kombi,Var,Var,Hayır,580815
Denizli,Bozkurt,171,2+1,8,4,Kombi,Yok,Yok,Evet,1857191
Denizli,Buldan,84,1+1,17,9,Merkezi,Yok,Var,Hayır,1880915
Denizli,Buldan,121,3+1,0,0,Soba,Var,Var,Hayır,1105300
Denizli,Buldan,169,4+1,29,7,Merkezi,Yok,Var,Hayır,1068472
Denizli,Buldan,111,2+1,24,2,Soba,Yok,Yok,Evet,1810976
Denizli,Buldan,51,3+1,7,7,Kombi,Var,Var,Evet,2535859
Denizli,Buldan,246,4+1,29,18,Soba,Yok,Var,Hayır,2314628
Denizli,Buldan,114,2+1,1,12,Merkezi,Var,Yok,Hayır,3894098
Denizli,Buldan,59,2+1,8,1,Kombi,Var,Var,Hayır,2631133
Denizli,Buldan,203,4+1,25,13,Merkezi,Yok,Yok,Evet,3532507
Denizli,Buldan,68,1+1,27,3,Kombi,Var,Yok,Evet,1180053
Denizli,Güney,178,4+1,4,12,Merkezi,Var,Var,Evet,3983103
Denizli,Güney,192,2+1,24,11,Kombi,Yok,Yok,Hayır,1111550
Denizli,Güney,219,3+1,11,15,Merkezi,Yok,Var,Evet,2015949
Denizli,Güney,121,4+1,22,16,Merkezi,Yok,Yok,Hayır,832704
Denizli,Güney,110,3+1,25,6,Kombi,Yok,Yok,Evet,913974
Denizli,Güney,192,1+1,7,1,Soba,Var,Var,Hayır,1409564
Denizli,Güney,177,2+1,19,17,Merkezi,Yok,Var,Hayır,689862
Denizli,Güney,132,4+1,30,14,Merkezi,Var,Yok,Hayır,2751215
Denizli,Güney,107,4+1,4,8,Soba,Var,Yok,Hayır,3570928
Denizli,Güney,175,2+1,21,1,Merkezi,Var,Yok,Evet,715855
Denizli,Honaz,115,1+1,27,14,Kombi,Var,Yok,Evet,3329579
Denizli,Honaz,234,3+1,3,12,Kombi,Yok,Var,Hayır,3268950
Denizli,Honaz,88,2+1,6,5,Soba,Var,Var,Hayır,3053592
Denizli,Honaz,141,3+1,25,9,Kombi,Var,Yok,Hayır,1566183
Denizli,Honaz,82,2+1,22,6,Soba,Var,Var,Evet,1571707
Denizli,Honaz,212,2+1,10,13,Merkezi,Var,Yok,Evet,3066785
Denizli,Honaz,140,3+1,24,14,Merkezi,Var,Var,Hayır,777620
Denizli,Honaz,105,2+1,24,19,Merkezi,Var,Var,Hayır,625443
Denizli,Honaz,76,4+1,13,16,Merkezi,Var,Var,Hayır,932906
Denizli,Honaz,172,3+1,22,10,Merkezi,Yok,Var,Hayır,2361206
Denizli,Kale,68,3+1,29,0,Kombi,Yok,Var,Hayır,3589488
Denizli,Kale,226,2+1,25,1,Merkezi,Var,Var,Hayır,3471841
Denizli,Kale,229,2+1,9,13,Merkezi,Var,Yok,Hayır,707368
Denizli,Kale,203,3+1,26,18,Soba,Yok,Var,Evet,3777063
Denizli,Kale,130,4+1,18,6,Soba,Var,Yok,Hayır,1962715
Denizli,Kale,109,1+1,20,14,Soba,Yok,Yok,Evet,748038
Denizli,Kale,105,3+1,15,15,Soba,Var,Yok,Hayır,1458196
Denizli,Kale,70,1+1,22,19,Merkezi,Var,Var,Evet,2485264
Denizli,Kale,151,4+1,19,14,Kombi,Yok,Var,Evet,2357626
Denizli,Kale,152,4+1,12,12,Merkezi,Var,Var,Hayır,2989096
Denizli,Merkezefendi,57,1+1,17,8,Kombi,Var,Var,Evet,1377362
Denizli,Merkezefendi,141,3+1,15,1,Soba,Yok,Var,Hayır,3430936
Denizli,Merkezefendi,126,2+1,3,9,Soba,Var,Var,Hayır,3080946
Denizli,Merkezefendi,111,4+1,28,4,Kombi,Var,Yok,Hayır,3400535
Denizli,Merkezefendi,125,1+1,12,8,Soba,Var,Yok,Evet,3369076
Denizli,Merkezefendi,229,4+1,3,14,Soba,Var,Yok,Evet,1261031
Denizli,Merkezefendi,58,3+1,8,3,Kombi,Yok,Yok,Evet,1501202
Denizli,Merkezefendi,227,4+1,10,19,Kombi,Yok,Var,Hayır,678033
Denizli,Merkezefendi,172,2+1,18,8,Kombi,Var,Yok,Evet,440877
Denizli,Merkezefendi,211,2+1,9,0,Soba,Yok,Var,Hayır,2120459
Denizli,Pamukkale,163,4+1,0,9,Merkezi,Yok,Yok,Hayır,455329
Denizli,Pamukkale,243,1+1,20,12,Soba,Yok,Var,Hayır,1151252
Denizli,Pamukkale,164,4+1,2,15,Merkezi,Yok,Yok,Evet,1189714
Denizli,Pamukkale,187,1+1,2,8,Kombi,Var,Var,Evet,2860973
Denizli,Pamukkale,147,3+1,6,5,Soba,Var,Yok,Evet,3811785
Denizli,Pamukkale,52,1+1,18,18,Kombi,Yok,Var,Evet,3568510
Denizli,Pamukkale,192,4+1,23,5,Merkezi,Yok,Var,Evet,2876310
Denizli,Pamukkale,147,4+1,17,11,Kombi,Yok,Var,Hayır,1443406
Denizli,Pamukkale,199,1+1,11,0,Merkezi,Yok,Var,Evet,3270373
Denizli,Pamukkale,101,2+1,20,3,Kombi,Yok,Yok,Evet,420091
Denizli,Sarayköy,246,3+1,15,15,Merkezi,Yok,Var,Evet,3735808
Denizli,Sarayköy,152,4+1,13,11,Kombi,Var,Yok,Evet,2569184
Denizli,Sarayköy,51,1+1,24,1,Merkezi,Var,Var,Evet,1964944
Denizli,Sarayköy,93,3+1,23,15,Soba,Yok,Var,Evet,2610215
Denizli,Sarayköy,233,1+1,23,18,Merkezi,Var,Var,Evet,1346028
Denizli,Sarayköy,239,3+1,0,15,Kombi,Yok,Yok,Hayır,2767690
Denizli,Sarayköy,88,1+1,11,17,Kombi,Var,Var,Hayır,633596
Denizli,Sarayköy,85,1+1,26,16,Soba,Yok,Var,Evet,3209587
Denizli,Sarayköy,97,3+1,5,9,Merkezi,Yok,Var,Evet,754300
Denizli,Sarayköy,226,2+1,22,2,Soba,Var,Var,Hayır,1634647
Denizli,Serinhisar,246,1+1,8,16,Merkezi,Yok,Var,Evet,776396
Denizli,Serinhisar,233,3+1,4,13,Soba,Var,Var,Hayır,1460022
Denizli,Serinhisar,74,1+1,7,19,Merkezi,Var,Yok,Hayır,2308619
Denizli,Serinhisar,95,3+1,5,1,Soba,Yok,Yok,Evet,2333203
Denizli,Serinhisar,110,2+1,21,9,Kombi,Yok,Var,Evet,908200
Denizli,Serinhisar,220,1+1,15,3,Merkezi,Yok,Var,Evet,635274
Denizli,Serinhisar,140,3+1,12,2,Kombi,Var,Var,Evet,411154
Denizli,Serinhisar,71,4+1,20,2,Soba,Var,Yok,Hayır,1842927
Denizli,Serinhisar,218,1+1,17,16,Soba,Yok,Var,Hayır,1988327
Denizli,Serinhisar,118,1+1,30,0,Kombi,Yok,Var,Hayır,3394307
Denizli,Tavas,151,3+1,21,10,Kombi,Var,Yok,Hayır,3968023
Denizli,Tavas,221,2+1,22,17,Kombi,Yok,Yok,Evet,1172149
Denizli,Tavas,212,1+1,13,6,Kombi,Yok,Var,Hayır,1967917
Denizli,Tavas,234,4+1,26,18,Kombi,Var,Var,Evet,946068
Denizli,Tavas,180,4+1,1,11,Merkezi,Yok,Var,Hayır,892315
Denizli,Tavas,129,4+1,22,14,Merkezi,Yok,Var,Hayır,3210380
Denizli,Tavas,180,2+1,6,3,Soba,Yok,Yok,Evet,2249803
Denizli,Tavas,174,1+1,21,19,Merkezi,Var,Yok,Hayır,674708
Denizli,Tavas,85,1+1,8,2,Merkezi,Yok,Yok,Evet,3863437
Denizli,Tavas,151,2+1,0,9,Soba,Var,Var,Evet,914703
Denizli,Çal,78,1+1,18,14,Soba,Var,Var,Hayır,2566048
Denizli,Çal,111,4+1,6,5,Merkezi,Yok,Yok,Evet,3156462
Denizli,Çal,164,2+1,16,1,Kombi,Var,Yok,Hayır,2338576
Denizli,Çal,180,1+1,5,3,Soba,Var,Var,Hayır,2743026
Denizli,Çal,160,3+1,12,4,Kombi,Var,Var,Evet,2620232
Denizli,Çal,100,4+1,3,2,Kombi,Yok,Yok,Hayır,1565074
Denizli,Çal,218,2+1,28,11,Kombi,Var,Var,Evet,556519
Denizli,Çal,121,4+1,27,7,Merkezi,Yok,Var,Hayır,2738160
Denizli,Çal,108,2+1,7,14,Soba,Yok,Var,Hayır,2237265
Denizli,Çal,138,2+1,9,17,Merkezi,Var,Yok,Evet,1268332
Denizli,Çameli,124,1+1,0,16,Merkezi,Yok,Var,Hayır,2846262
Denizli,Çameli,73,4+1,12,14,Kombi,Var,Var,Hayır,1785451
Denizli,Çameli,192,4+1,7,20,Kombi,Var,Yok,Evet,3730667
Denizli,Çameli,65,3+1,20,20,Merkezi,Yok,Yok,Evet,1142225
Denizli,Çameli,119,4+1,6,16,Kombi,Var,Var,Evet,1738183
Denizli,Çameli,187,2+1,26,7,Merkezi,Yok,Var,Hayır,1675645
Denizli,Çameli,113,2+1,15,10,Kombi,Var,Yok,Hayır,1662815
Denizli,Çameli,165,2+1,1,18,Merkezi,Yok,Var,Hayır,1098259
Denizli,Çameli,106,3+1,14,15,Kombi,Yok,Yok,Hayır,801165
Denizli,Çameli,162,1+1,24,5,Kombi,Var,Var,Hayır,978007
Denizli,Çardak,84,4+1,3,12,Soba,Yok,Yok,Evet,1477445
Denizli,Çardak,156,4+1,30,5,Merkezi,Var,Yok,Hayır,2139103
Denizli,Çardak,81,4+1,26,8,Soba,Yok,Var,Hayır,1655917
Denizli,Çardak,158,4+1,12,19,Soba,Yok,Var,Evet,772727
Denizli,Çardak,179,4+1,7,9,Soba,Var,Yok,Hayır,1943182
Denizli,Çardak,72,3+1,21,14,Soba,Var,Yok,Evet,3771221
Denizli,Çardak,134,4+1,9,20,Merkezi,Var,Yok,Hayır,637204
Denizli,Çardak,53,4+1,26,14,Kombi,Yok,Var,Hayır,2137205
Denizli,Çardak,138,3+1,1,0,Kombi,Yok,Yok,Hayır,2754199
Denizli,Çardak,67,2+1,22,10,Merkezi,Var,Var,Evet,1092263
Denizli,Çivril,144,1+1,4,5,Merkezi,Var,Yok,Evet,816788
Denizli,Çivril,66,4+1,13,7,Merkezi,Var,Var,Hayır,1576367
Denizli,Çivril,51,1+1,7,17,Kombi,Var,Var,Hayır,447177
Denizli,Çivril,60,4+1,16,6,Kombi,Var,Yok,Evet,3029070
Denizli,Çivril,54,1+1,3,14,Kombi,Yok,Var,Evet,951072
Denizli,Çivril,209,1+1,3,1,Kombi,Var,Var,Hayır,2530145
Denizli,Çivril,55,1+1,6,10,Merkezi,Var,Var,Hayır,3426385
Denizli,Çivril,196,4+1,13,9,Kombi,Var,Yok,Evet,2108421
Denizli,Çivril,191,2+1,20,14,Soba,Yok,Yok,Hayır,3123200
Denizli,Çivril,138,4+1,7,5,Soba,Yok,Yok,Evet,3138166
Diyarbakır,Bağlar,90,1+1,11,18,Kombi,Var,Yok,Hayır,1375946
Diyarbakır,Bağlar,202,1+1,18,13,Merkezi,Var,Yok,Hayır,1587881
Diyarbakır,Bağlar,141,1+1,6,11,Soba,Var,Yok,Evet,2918636
Diyarbakır,Bağlar,145,3+1,18,16,Merkezi,Yok,Yok,Evet,2935015
Diyarbakır,Bağlar,183,4+1,11,3,Merkezi,Yok,Yok,Evet,2801115
Diyarbakır,Bağlar,110,2+1,2,11,Soba,Yok,Var,Evet,2490824
Diyarbakır,Bağlar,216,4+1,5,1,Soba,Yok,Yok,Hayır,3880591
Diyarbakır,Bağlar,92,1+1,1,16,Soba,Var,Yok,Hayır,1721638
Diyarbakır,Bağlar,174,2+1,25,7,Merkezi,Var,Var,Hayır,748466
Diyarbakır,Bağlar,75,1+1,18,20,Kombi,Var,Var,Evet,2060842
Diyarbakır,Bismil,56,3+1,19,14,Merkezi,Var,Var,Evet,582162
Diyarbakır,Bismil,232,4+1,21,16,Merkezi,Yok,Yok,Evet,2020153
Diyarbakır,Bismil,111,3+1,19,13,Soba,Var,Yok,Evet,502577
Diyarbakır,Bismil,96,4+1,14,3,Kombi,Yok,Var,Hayır,646337
Diyarbakır,Bismil,106,1+1,25,11,Kombi,Var,Var,Evet,1507859
Diyarbakır,Bismil,156,2+1,12,20,Kombi,Var,Var,Evet,2451417
Diyarbakır,Bismil,239,2+1,13,0,Merkezi,Var,Yok,Hayır,1898889
Diyarbakır,Bismil,116,1+1,29,6,Soba,Yok,Yok,Evet,467290
Diyarbakır,Bismil,113,3+1,29,20,Soba,Var,Var,Hayır,3594472
Diyarbakır,Bismil,63,1+1,12,2,Kombi,Yok,Yok,Evet,598703
Diyarbakır,Dicle,243,1+1,22,18,Kombi,Yok,Yok,Hayır,517945
Diyarbakır,Dicle,154,2+1,1,5,Soba,Yok,Yok,Hayır,595692
Diyarbakır,Dicle,104,3+1,25,14,Soba,Yok,Var,Hayır,3587421
Diyarbakır,Dicle,125,3+1,29,8,Merkezi,Yok,Yok,Hayır,2824883
Diyarbakır,Dicle,227,2+1,16,11,Merkezi,Var,Yok,Evet,1498632
Diyarbakır,Dicle,73,1+1,9,0,Kombi,Var,Var,Evet,789718
Diyarbakır,Dicle,175,3+1,21,5,Soba,Var,Yok,Evet,3173853
Diyarbakır,Dicle,73,4+1,8,11,Soba,Yok,Var,Evet,1180838
Diyarbakır,Dicle,62,4+1,30,6,Kombi,Yok,Yok,Evet,3511636
Diyarbakır,Dicle,60,2+1,27,18,Merkezi,Yok,Yok,Hayır,2252557
Diyarbakır,Ergani,119,2+1,29,20,Merkezi,Var,Yok,Evet,648559
Diyarbakır,Ergani,216,1+1,29,5,Merkezi,Yok,Yok,Evet,503852
Diyarbakır,Ergani,65,4+1,27,17,Soba,Var,Yok,Evet,1802639
Diyarbakır,Ergani,113,1+1,2,1,Kombi,Var,Yok,Evet,2911788
Diyarbakır,Ergani,164,3+1,3,10,Soba,Yok,Yok,Evet,1092181
Diyarbakır,Ergani,147,1+1,3,2,Soba,Var,Yok,Evet,3599435
Diyarbakır,Ergani,186,1+1,6,7,Soba,Var,Var,Evet,2434467
Diyarbakır,Ergani,151,2+1,20,19,Kombi,Yok,Yok,Evet,2620412
Diyarbakır,Ergani,142,1+1,1,0,Soba,Var,Var,Hayır,2068407
Diyarbakır,Ergani,166,3+1,5,6,Kombi,Var,Var,Hayır,3350549
Diyarbakır,Eğil,216,3+1,12,6,Merkezi,Yok,Yok,Evet,1651876
Diyarbakır,Eğil,238,2+1,2,16,Soba,Var,Var,Hayır,1672429
Diyarbakır,Eğil,138,4+1,14,12,Soba,Var,Yok,Hayır,1843901
Diyarbakır,Eğil,233,1+1,3,19,Soba,Yok,Yok,Hayır,3454416
Diyarbakır,Eğil,215,4+1,22,6,Soba,Var,Var,Hayır,2714789
Diyarbakır,Eğil,59,3+1,27,20,Soba,Var,Yok,Hayır,2912172
Diyarbakır,Eğil,153,4+1,28,3,Soba,Var,Var,Evet,2700915
Diyarbakır,Eğil,158,3+1,23,2,Merkezi,Var,Yok,Hayır,2305437
Diyarbakır,Eğil,114,3+1,3,15,Soba,Var,Yok,Evet,2916393
Diyarbakır,Eğil,128,4+1,12,19,Kombi,Var,Var,Evet,1712086
Diyarbakır,Hani,84,3+1,12,4,Kombi,Var,Yok,Hayır,700236
Diyarbakır,Hani,110,2+1,6,10,Soba,Var,Var,Evet,785730
Diyarbakır,Hani,87,3+1,14,0,Merkezi,Var,Yok,Evet,2916121
Diyarbakır,Hani,151,1+1,5,6,Merkezi,Var,Var,Hayır,3039929
Diyarbakır,Hani,104,4+1,12,15,Kombi,Yok,Var,Hayır,2056765
Diyarbakır,Hani,198,3+1,25,2,Merkezi,Var,Yok,Evet,2368148
Diyarbakır,Hani,241,3+1,12,6,Merkezi,Yok,Yok,Hayır,2085503
Diyarbakır,Hani,152,3+1,18,20,Merkezi,Yok,Var,Evet,435466
Diyarbakır,Hani,163,1+1,11,9,Soba,Var,Var,Hayır,3032380
Diyarbakır,Hani,215,4+1,3,12,Soba,Yok,Var,Hayır,3469592
Diyarbakır,Hazro,180,3+1,18,18,Soba,Var,Yok,Evet,1426192
Diyarbakır,Hazro,201,1+1,13,4,Kombi,Yok,Yok,Evet,3671633
Diyarbakır,Hazro,127,4+1,4,6,Merkezi,Var,Var,Evet,2971492
Diyarbakır,Hazro,77,4+1,4,11,Kombi,Yok,Yok,Evet,1966617
Diyarbakır,Hazro,112,4+1,10,14,Kombi,Yok,Yok,Hayır,3449273
Diyarbakır,Hazro,211,4+1,29,16,Soba,Var,Var,Evet,1520241
Diyarbakır,Hazro,150,1+1,8,4,Merkezi,Yok,Yok,Evet,747665
Diyarbakır,Hazro,132,3+1,7,9,Soba,Var,Var,Hayır,3355871
Diyarbakır,Hazro,217,2+1,25,0,Soba,Var,Yok,Evet,3511064
Diyarbakır,Hazro,115,1+1,27,9,Soba,Var,Yok,Hayır,2299479
Diyarbakır,Kayapınar,100,3+1,6,7,Merkezi,Yok,Var,Hayır,1510292
Diyarbakır,Kayapınar,108,2+1,27,5,Soba,Var,Yok,Evet,1184582
Diyarbakır,Kayapınar,61,3+1,25,15,Merkezi,Var,Var,Hayır,3737768
Diyarbakır,Kayapınar,104,2+1,7,10,Kombi,Var,Yok,Hayır,3815915
Diyarbakır,Kayapınar,213,3+1,1,18,Soba,Yok,Yok,Evet,1345048
Diyarbakır,Kayapınar,140,3+1,26,11,Kombi,Yok,Yok,Evet,2906725
Diyarbakır,Kayapınar,94,1+1,1,18,Merkezi,Yok,Yok,Evet,3982130
Diyarbakır,Kayapınar,130,4+1,3,8,Kombi,Yok,Yok,Hayır,1982769
Diyarbakır,Kayapınar,128,3+1,13,10,Merkezi,Var,Yok,Hayır,3132274
Diyarbakır,Kayapınar,172,1+1,8,18,Kombi,Var,Var,Evet,1214269
Diyarbakır,Kocaköy,69,4+1,23,11,Merkezi,Yok,Var,Evet,1664373
Diyarbakır,Kocaköy,240,3+1,13,11,Merkezi,Yok,Yok,Hayır,758215
Diyarbakır,Kocaköy,66,3+1,24,8,Soba,Yok,Yok,Hayır,2809298
Diyarbakır,Kocaköy,102,2+1,6,4,Soba,Yok,Yok,Evet,899072
Diyarbakır,Kocaköy,77,2+1,21,14,Kombi,Var,Yok,Evet,3623509
Diyarbakır,Kocaköy,146,4+1,8,1,Soba,Var,Yok,Hayır,749418
Diyarbakır,Kocaköy,135,4+1,22,19,Merkezi,Var,Var,Evet,1407158
